canonical_file_name,width,height,modality,source_type,view_type,ocr_needed,component_primary,component_secondary,visible_abnormalities,visual_observation,engineering_rationale,fault_type,issue_family,hazard_level,resolver_tier,recommended_next_step,required_proof_next,replacement_likely,manufacturer_verification_needed,confidence_annotation,annotator,reviewer,approval_status,group_id,notes
Burnt Mark Issue (1).jpg,810,1080,photo,isolator,close_up,no,isolator,terminal_block,burn_mark;melted_plastic;loose_termination,Severe charring and melted plastic housing at terminal 2 of the isolator.,"High resistance at the terminal point suggests a loose termination, causing localized thermal failure.",isolator_issue,no_power,high,technician,Isolate power and replace the entire isolator unit.,Post-replacement photo and continuity test results.,yes,no,high,Annotator_A,Reviewer_D,draft,[Insert Group ID],
Burnt Mark Issue (2).jpg,1920,2560,photo,isolator,close_up,no,isolator,cable,burn_mark;melted_plastic;loose_termination,Significant charring and melted housing at the 1L1/top-left terminal of the isolator switch.,"Thermal failure at the terminal indicates high contact resistance, likely due to a loose termination or overloaded phase.",isolator_issue,no_power,high,technician,Isolate supply and replace damaged isolator unit; inspect incoming cable for heat damage.,Post-replacement photo and phase-to-neutral voltage readings at the isolator input.,yes,no,high,Annotator_A,Reviewer_D,draft,[Insert Group ID],
Burnt Mark Issue (3).jpg,810,1080,photo,isolator,close_up,no,isolator,cable,burn_mark;loose_termination;abnormal_connection_layout,Localized charring at terminal 4 of the isolator; improper yellow tape splicing used at bottom conduit entry.,Heat damage suggests high resistance from a loose terminal; tape splicing violates standard wiring safety protocols.,isolator_issue,no_power,high,technician,Replace damaged isolator switch and redo wiring using proper terminal connectors.,Post-replacement photo and multimeter voltage check at load side.,yes,no,high,Annotator_A,Reviewer_D,draft,[Insert Group ID],
Burnt Mark Issue (4).jpg,1280,960,photo,charger_interior,medium_shot,no,mcb,,burn_mark;damaged_internal_part,Dark brown scorched mark visible on the side of the MCB plastic housing.,Internal charring suggests a localized hot spot or arc chute failure during a high-fault current event.,burnt_circuit_breaker,tripping,high,technician,Discard the damaged MCB and replace with a new unit of equivalent rating.,Photos of the new installation and internal resistance check if required.,yes,no,high,Annotator_A,Reviewer_D,draft,[Insert Group ID],
Cable termination - connection (1).jpg,720,1280,photo,cable_termination,close_up,no,earth_wire,cable,exposed_conductor; abnormal_connection_layout; loose_termination,"The green/yellow earth wire insulation is stripped, exposing the internal metal conductor in the middle of the cable run. The wire appears to be irregularly spliced and taped, showing an abnormal connection layout.","An inline splice with exposed conductors on an earth wire compromises the safety ground. It indicates non-standard wiring practices, introduces a potential point of failure, and poses a safety risk.",grounding_issue,unknown_mixed,high,technician,"Escalate for technician inspection to replace the compromised earth cable and ensure a proper, continuous grounding connection.",Wider context photo to identify the location of this cable run and an earth continuity test.,yes,no,high,Annotator_A,Reviewer_D,draft,[Insert Group ID],
Cable termination - connection (2).jpg,960,1280,photo,evdb_house_db,close_up,no,cable,rccb; mcb +1,loose_termination; exposed_conductor,A hand is holding a disconnected black wire with an exposed copper conductor. A loose metal ferrule rests on the palm. The RCCB and MCB toggles above are in the OFF position.,"The wire has completely detached from its terminal, leaving an exposed conductor. This indicates a failed termination that poses a severe shock hazard and open circuit. ",cable_termination_issue,no_power,high,technician,"Escalate for technician inspection to properly recrimp the ferrule, re-terminate the wire, and verify torque on the DB connections.",Photo of the repaired termination and a voltage reading confirming restored power.,no,no,high,Annotator_A,Reviewer_D,draft,[Insert Group ID],
Cable termination - connection (3).jpg,960,1280,photo,evdb_house_db,close_up,no,evdb_house_db,mcb; rccb; terminal_block,abnormal_connection_layout; double_landed_wire; exposed_conductor; wrong_wire_routing; loose_termination,Green earth wires appear routed into the bottom breaker terminals alongside orange wires. Multiple conductors are double-landed in the same terminal. Exposed copper is visible at the top terminal bars.,"Routing earth wires through breaker active/neutral terminals is a severe wiring fault. Double-landed conductors and exposed copper increase the risk of poor termination, overheating, and short circuits. ",tapping_or_illegal_wiring,unknown_mixed,high,technician,Escalate for immediate technician inspection to completely rewire the DB according to standard safety regulations.,Photos of the corrected wiring layout and successful earth/continuity test results.,yes,no,high,Annotator_A,Reviewer_D,draft,[Insert Group ID],
Cable termination - connection (4).jpg,960,1280,photo,isolator,close_up,no,isolator,neutral_wire,loose_termination; exposed_conductor; melted_plastic,"The blue wire entering the terminal has excess insulation stripped, leaving the copper conductor exposed. There are indications of a loose connection and slight deformation/melting on the plastic housing near the terminal.","Exposed conductors risk short circuits or accidental contact. Loose terminations create high electrical resistance, leading to localized heating which causes the surrounding plastic to melt.",cable_termination_issue,unknown_mixed,high,technician,"Escalate for technician inspection to cut back and securely re-terminate the cable, and assess the isolator switch for internal thermal damage.",Upstream voltage reading and a wider context photo of the full isolator installation.,yes,no,high,Annotator_A,Reviewer_D,draft,[Insert Group ID],
Cable termination - connection (5).jpg,960,1280,photo,isolator,close_up,no,isolator,cable,loose_termination,Two cables within the isolator enclosure are completely disconnected from the switch terminals. A red cable at the top right and another cable at the bottom left are left hanging loose.,"Disconnected cables at the isolator prevent power transmission and create a serious safety hazard if the lines are energized, risking short circuits, arcing, or electric shock.",isolator_issue,no_power,high,technician,Escalate for technician inspection to properly terminate the loose cables to the isolator switch and verify safe operation.,Photo of the completed terminations and an upstream/downstream voltage reading.,no,no,high,Annotator_A,Reviewer_D,draft,[Insert Group ID],
Charger No Pulse (1).jpg,720,1280,photo,charger_exterior,full_scene,no,charger_exterior,charger_led,missing_or_no_indicator,"The LED indicator strip on the front of the charger exterior is completely unlit, showing no status lights.","A completely unlit indicator suggests the charger is not receiving power from the upstream supply, or the internal power supply/controller has failed.",unknown_fault,no_power,low,driver,"Request the driver to check upstream isolator, EVDB, and TNB meter for tripped breakers or power loss before escalating.",Photos of upstream EVDB MCB/RCCB and isolator switch positions.,no,no,high,Annotator_A,Reviewer_D,draft,[Insert Group ID],
